name,state_id,metro_id,median_income
Little Rock-Pine Bluff AR,AR,693,52093.82
Montgomery (Selma) AL,AL,698,47135.37
La Crosse-Eau Claire WI,MN,702,61562.14
Wausau-Rhinelander WI,WI,705,62670.58
Tyler-Longview(Lufkin & Nacogdoches) TX,TX,709,55508.04
Hattiesburg-Laurel MS,MS,710,45418.45
Meridian MS,AL,711,38908.56
Baton Rouge LA,LA,716,57148.03
Quincy IL-Hannibal MO-Keokuk IA,IL,717,54298.76
Jackson MS,MS,718,49626.04
Lincoln & Hastings-Kearney NE,NE,722,61245.07
Fargo-Valley City ND,MN,724,63785.93
Sioux Falls(Mitchell) SD,NE,725,65270.81
Jonesboro AR,AR,734,47680.39
Bowling Green KY,KY,736,51735.92
Mankato MN,MN,737,64077.14
North Platte NE,NE,740,60843.7
Anchorage AK,AK,743,81489.06
Honolulu HI,HI,744,85264.66
Fairbanks AK,AK,745,71286.89
Biloxi-Gulfport MS,MS,746,56330.27
Juneau AK,AK,747,74966.72
Laredo TX,TX,749,52030.76
Denver CO,CO,751,85670.01
Colorado Springs-Pueblo CO,CO,752,71097.67
Phoenix AZ,AZ,753,72030.0
Butte-Bozeman MT,MT,754,68450.55
Great Falls MT,MT,755,52496.19
"Billings, MT",MT,756,64660.35
Boise ID,ID,757,70554.93
Idaho Falls-Pocatello ID,ID,758,67070.62
Cheyenne WY-Scottsbluff NE,NE,759,61368.27
Twin Falls ID,ID,760,59613.27
Missoula MT,MT,762,63016.21
Rapid City SD,SD,764,60492.16
El Paso TX,NM,765,50124.03
Helena MT,MT,766,66138.7
Casper-Riverton WY,WY,767,62126.65
Salt Lake City UT,NV,770,79192.86
Yuma AZ-El Centro CA,AZ,771,57258.99
Grand Junction-Montrose CO,CO,773,62047.63
Tucson (Sierra Vista) AZ,AZ,789,60901.21
Albuquerque-Santa Fe NM,NM,790,58062.06
Glendive MT,MT,798,51384.48
Bakersfield CA,CA,800,58847.41
Eugene OR,OR,801,61095.01
Eureka CA,CA,802,55659.14
Los Angeles CA,CA,803,82249.58
Palm Springs CA,CA,804,0.0
San Francisco-Oakland-San Jose CA,CA,807,120052.99
Yakima-Pasco-Richland-Kennewick WA,OR,810,67429.99
Reno NV,CA,811,73196.4
Medford-Klamath Falls OR,CA,813,56606.52
Seattle-Tacoma WA,WA,819,92894.09
Portland OR,OR,820,78079.22
Bend OR,OR,821,80259.31
San Diego CA,CA,825,90995.06
Monterey-Salinas CA,CA,828,89614.07
Las Vegas NV,NV,839,64323.13
Santa Barbara-Santa Maria-San Luis Obispo CA,CA,855,84092.63
Sacramento-Stockton-Modesto CA,CA,862,81416.28
Fresno-Visalia CA,CA,866,61596.77
Chico-Redding CA,CA,868,60279.68
Spokane WA,ID,881,62801.47
Portland-Auburn ME,ME,500,70536.43
New York NY,NJ,501,86175.28
Binghamton NY,NY,502,57502.77
Macon GA,GA,503,52930.15
Philadelphia PA,DE,504,77927.71
Detroit MI,MI,505,68400.99
Boston MA-Manchester NH,MA,506,95701.36
Savannah GA,GA,507,61071.21
Pittsburgh PA,PA,508,65944.17
Ft. Wayne IN,IN,509,62515.75
Cleveland-Akron (Canton) OH,OH,510,61762.68
Washington DC (Hagerstown MD),DC,511,106276.23
