Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"St. Tammany Parish, Louisiana",0500000US22103,14180,15668,16227,24220,15428,6941,10879
"Tangipahoa Parish, Louisiana",0500000US22105,9810,9284,9060,11677,5943,2122,2019
"Terrebonne Parish, Louisiana",0500000US22109,7804,6481,6823,9912,8464,2036,2476
"Union Parish, Louisiana",0500000US22111,2588,2211,1044,1496,855,247,488
"Vermilion Parish, Louisiana",0500000US22113,5175,3631,3507,6094,2902,764,441
"Vernon Parish, Louisiana",0500000US22115,3220,3603,3615,3496,2582,458,696
"Washington Parish, Louisiana",0500000US22117,4396,4226,3389,2558,1562,275,878
"Webster Parish, Louisiana",0500000US22119,3861,4202,2273,2337,844,310,249
"West Baton Rouge Parish, Louisiana",0500000US22121,1431,1480,1354,3961,1635,670,431
"Androscoggin County, Maine",0500000US23001,6715,8156,7445,12505,7564,2332,1606
"Aroostook County, Maine",0500000US23003,4871,7142,4788,7806,3533,826,1254
"Cumberland County, Maine",0500000US23005,12957,16390,18747,32519,21164,10910,17290
"Franklin County, Maine",0500000US23007,2170,2409,2340,2609,2203,338,347
"Hancock County, Maine",0500000US23009,4156,5526,4080,5106,4416,1487,1204
"Kennebec County, Maine",0500000US23011,7403,10171,9096,13601,8053,3680,1799
"Knox County, Maine",0500000US23013,2251,2458,2129,5307,3611,1782,906
"Lincoln County, Maine",0500000US23015,1661,3088,2046,3570,3073,975,1605
"Oxford County, Maine",0500000US23017,4531,4950,4190,6053,2603,826,769
"Penobscot County, Maine",0500000US23019,12249,12049,10428,13787,9930,4075,2923
"Sagadahoc County, Maine",0500000US23023,1427,2623,2231,4036,3802,1229,954
"Somerset County, Maine",0500000US23025,4548,5219,2973,5851,2654,1057,1280
"Waldo County, Maine",0500000US23027,2548,3041,3157,3931,3135,573,831
"Washington County, Maine",0500000US23029,3494,3311,2397,2927,1450,386,487
"York County, Maine",0500000US23031,9827,12850,13296,23005,17876,7883,6170
"Allegany County, Maryland",0500000US24001,5721,5027,6675,5483,3501,1343,785
"Anne Arundel County, Maryland",0500000US24003,14463,17956,21768,48659,47336,32895,41987
"Baltimore County, Maryland",0500000US24005,34166,46207,44922,74873,58811,33280,40270
"Calvert County, Maryland",0500000US24009,2038,2443,2195,7185,7821,3864,8448
"Caroline County, Maryland",0500000US24011,1430,2325,2250,3429,1536,569,696
"Carroll County, Maryland",0500000US24013,3713,5179,7593,14923,12531,9095,11127
"Cecil County, Maryland",0500000US24015,5471,4414,6160,9934,8531,4047,2443
"Charles County, Maryland",0500000US24017,4779,4269,7111,11884,14184,8663,8591
"Dorchester County, Maryland",0500000US24019,1837,3054,2121,2028,2226,1077,703
"Frederick County, Maryland",0500000US24021,7412,8741,11461,21650,22840,14502,17079
"Garrett County, Maryland",0500000US24023,1650,2898,2240,2906,1700,634,478
"Harford County, Maryland",0500000US24025,8364,9930,11941,22761,22189,12578,13433
"Howard County, Maryland",0500000US24027,7513,6595,9341,18357,25898,20710,32132
"Montgomery County, Maryland",0500000US24031,28715,33435,35307,73497,71577,50112,95753
"Prince George's County, Maryland",0500000US24033,36035,34365,42642,77983,73033,39668,42401
"Queen Anne's County, Maryland",0500000US24035,1811,2236,2116,4574,3876,2114,2917
"St. Mary's County, Maryland",0500000US24037,3177,4044,4481,6930,10884,5903,6659
"Somerset County, Maryland",0500000US24039,2158,1155,1343,1989,893,439,444
"Talbot County, Maryland",0500000US24041,1154,2123,2564,3904,2605,1606,2574
"Washington County, Maryland",0500000US24043,10344,8803,9395,13170,10635,4094,3774
"Wicomico County, Maryland",0500000US24045,6193,5367,7700,10353,6346,2822,1796
"Worcester County, Maryland",0500000US24047,2993,2918,3125,6169,3826,1968,2274
"Baltimore city, Maryland",0500000US24510,54470,42447,42147,53257,28959,15042,18048
"Barnstable County, Massachusetts",0500000US25001,10331,14049,13185,23570,17594,11623,14381
"Berkshire County, Massachusetts",0500000US25003,8148,11045,9081,12196,7722,4331,5242
"Bristol County, Massachusetts",0500000US25005,33861,35673,29748,46838,42358,23243,21810
"Dukes County, Massachusetts",0500000US25007,608,1121,1198,1461,878,1133,1467
"Essex County, Massachusetts",0500000US25009,39919,33995,36925,61589,54080,35749,47715
"Franklin County, Massachusetts",0500000US25011,4075,4892,3816,8454,4870,2694,1573
"Hampden County, Massachusetts",0500000US25013,33603,29680,26526,40225,28518,12222,13770
"Hampshire County, Massachusetts",0500000US25015,7607,8078,7924,13168,11180,5323,7590
"Middlesex County, Massachusetts",0500000US25017,57846,55789,59906,110390,111196,78607,159097
"Norfolk County, Massachusetts",0500000US25021,25498,27825,22131,48748,49104,35753,71008
"Plymouth County, Massachusetts",0500000US25023,18434,21824,21490,39190,38394,26244,36508
"Suffolk County, Massachusetts",0500000US25025,59221,36959,32598,56303,52746,27365,50065
"Worcester County, Massachusetts",0500000US25027,40941,42157,40321,67364,63830,38226,40596
"Allegan County, Michigan",0500000US26005,4616,6396,5590,13678,8682,3346,2171
"Alpena County, Michigan",0500000US26007,2307,2728,2474,3307,1267,320,365
"Antrim County, Michigan",0500000US26009,1394,2077,2290,2750,1455,688,654
"Barry County, Michigan",0500000US26015,2234,3900,4150,7250,4585,1116,1083
"Bay County, Michigan",0500000US26017,6849,9578,7600,11614,5579,3040,1227
"Berrien County, Michigan",0500000US26021,10219,13753,10194,13806,8547,4609,4636
"Branch County, Michigan",0500000US26023,1844,3571,2570,4827,2271,659,936
"Calhoun County, Michigan",0500000US26025,7609,11973,8611,11433,8043,3528,2285
"Cass County, Michigan",0500000US26027,3167,4481,3032,5415,2864,1498,1241
"Charlevoix County, Michigan",0500000US26029,1697,1918,2305,2798,2056,1113,860
"Cheboygan County, Michigan",0500000US26031,1750,1932,2149,3257,972,344,448
"Chippewa County, Michigan",0500000US26033,2789,2841,3089,2996,1499,339,207
"Clare County, Michigan",0500000US26035,2162,3148,3240,2364,1078,341,264
"Clinton County, Michigan",0500000US26037,2647,4135,4879,8492,6638,2083,2078
"Delta County, Michigan",0500000US26041,3172,2591,2784,3133,1909,815,376
"Dickinson County, Michigan",0500000US26043,2072,2181,2137,2947,1422,782,334
"Eaton County, Michigan",0500000US26045,4433,7131,7968,12183,7409,3119,2894
"Emmet County, Michigan",0500000US26047,1243,2012,2805,4095,2581,1175,1231
"Genesee County, Michigan",0500000US26049,29116,33062,33054,35905,21376,9045,6337
"Gladwin County, Michigan",0500000US26051,2400,2137,1880,2492,1564,419,209
"Grand Traverse County, Michigan",0500000US26055,4017,7364,6568,10653,8270,1360,1851
"Gratiot County, Michigan",0500000US26057,2275,3040,2563,3500,2100,585,487
"Hillsdale County, Michigan",0500000US26059,2312,4025,3165,4108,2115,1095,517
"Houghton County, Michigan",0500000US26061,2926,2433,2174,3505,1724,727,522
"Huron County, Michigan",0500000US26063,2229,2664,3334,2961,1555,552,666
"Ingham County, Michigan",0500000US26065,19158,22246,18108,25526,18366,5957,6391
"Ionia County, Michigan",0500000US26067,2638,3955,4340,7438,3305,1301,554
"Iosco County, Michigan",0500000US26069,2940,2661,2598,2711,903,322,324
"Isabella County, Michigan",0500000US26073,4860,5262,5227,5693,2574,939,754
"Jackson County, Michigan",0500000US26075,7667,12473,11865,14440,8455,4350,2687
"Kalamazoo County, Michigan",0500000US26077,16556,18501,16035,25697,15742,7179,5932
"Kent County, Michigan",0500000US26081,28599,35502,39674,66330,44254,18591,20142
"Lapeer County, Michigan",0500000US26087,4172,4686,5228,9834,6466,2274,1787
"Leelanau County, Michigan",0500000US26089,763,1203,1191,2416,1760,765,1497
"Lenawee County, Michigan",0500000US26091,5479,7440,6212,10104,6625,1407,1696
"Livingston County, Michigan",0500000US26093,4711,8066,10594,17610,16272,10168,7949
"Macomb County, Michigan",0500000US26099,42551,60153,54901,90571,60445,27722,21668
"Manistee County, Michigan",0500000US26101,1313,1933,2070,3057,1352,188,487
"Marquette County, Michigan",0500000US26103,4572,5099,4895,6373,4447,1175,729
"Mason County, Michigan",0500000US26105,2035,2367,2085,3260,1907,429,404
"Mecosta County, Michigan",0500000US26107,3413,3621,2755,4388,1850,449,404
"Menominee County, Michigan",0500000US26109,1155,1955,1536,2822,1552,414,179
"Midland County, Michigan",0500000US26111,4592,6305,4852,8231,5300,2744,3429
"Monroe County, Michigan",0500000US26115,7154,10201,9201,17354,9443,5309,2912
"Montcalm County, Michigan",0500000US26117,2914,5319,4445,6640,3041,888,498
"Muskegon County, Michigan",0500000US26121,8991,14260,13022,17224,9408,2823,1979
"Newaygo County, Michigan",0500000US26123,2632,4039,3338,4907,2882,689,904
"Oakland County, Michigan",0500000US26125,50577,65676,67964,114711,98437,57472,75546
"Oceana County, Michigan",0500000US26127,1530,2079,1673,3086,1201,360,224
"Ogemaw County, Michigan",0500000US26129,2007,2064,1770,1790,1018,316,151
"Osceola County, Michigan",0500000US26133,1330,1956,1618,2180,1289,316,157
"Otsego County, Michigan",0500000US26137,1523,2541,2153,3176,1366,593,626
"Ottawa County, Michigan",0500000US26139,9450,15846,14840,29519,21190,10068,9132
"Roscommon County, Michigan",0500000US26143,2015,2391,2501,2651,1581,318,707
"Saginaw County, Michigan",0500000US26145,17988,14775,13285,18376,8914,3883,2925
"St. Clair County, Michigan",0500000US26147,7649,11598,13360,16474,10395,3831,3017
"St. Joseph County, Michigan",0500000US26149,3471,5023,3574,5912,3844,929,582
"Sanilac County, Michigan",0500000US26151,2840,4117,3705,3903,1916,689,531
"Shiawassee County, Michigan",0500000US26155,4182,5599,5956,6650,4107,1164,568
