Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Glens Falls, NY Metro Area",310M600US24020,65557,6071,84963,5642
"Glenwood Springs, CO Micro Area",310M600US24060,86772,8670,138574,24959
"Goldsboro, NC Metro Area",310M600US24140,47595,5786,67175,5009
"Grand Forks, ND-MN Metro Area",310M600US24220,62568,7222,79853,5496
"Grand Island, NE Metro Area",310M600US24260,61749,4633,85132,13131
"Grand Junction, CO Metro Area",310M600US24300,64055,4465,88916,6956
"Grand Rapids-Kentwood, MI Metro Area",310M600US24340,72014,1473,93113,2584
"Grants Pass, OR Metro Area",310M600US24420,48785,4372,69334,7383
"Great Falls, MT Metro Area",310M600US24500,57706,5065,73620,4579
"Greeley, CO Metro Area",310M600US24540,85290,3604,103262,4223
"Green Bay, WI Metro Area",310M600US24580,66652,2802,86837,4579
"Greeneville, TN Micro Area",310M600US24620,56488,4232,73551,8708
"Greensboro-High Point, NC Metro Area",310M600US24660,57908,1697,78644,2549
"Greenville, NC Metro Area",310M600US24780,44450,4511,66825,4560
"Greenville-Anderson, SC Metro Area",310M600US24860,62265,1557,86213,2973
"Greenwood, SC Micro Area",310M600US24940,52636,3013,67461,6151
"Guayama, PR Metro Area",310M600US25020,16373,3236,29895,5495
"Gulfport-Biloxi, MS Metro Area",310M600US25060,56348,4170,71693,3688
"Hagerstown-Martinsburg, MD-WV Metro Area",310M600US25180,67372,4821,83540,4558
"Hammond, LA Metro Area",310M600US25220,52872,6224,72249,11349
"Hanford-Corcoran, CA Metro Area",310M600US25260,62155,4787,77717,5388
"Harrisburg-Carlisle, PA Metro Area",310M600US25420,73559,3187,92011,2567
"Harrisonburg, VA Metro Area",310M600US25500,66564,3926,83948,4900
"Hartford-East Hartford-Middletown, CT Metro Area",310M600US25540,82258,1788,108682,2202
"Hattiesburg, MS Metro Area",310M600US25620,55444,2816,78164,7668
"Heber, UT Micro Area",310M600US25720,115188,16494,172391,25404
"Helena, MT Micro Area",310M600US25740,65638,7228,88575,5717
"Hermiston-Pendleton, OR Micro Area",310M600US25840,59608,7699,76514,6486
"Hickory-Lenoir-Morganton, NC Metro Area",310M600US25860,52737,4076,70891,2972
"Hilo, HI Micro Area",310M600US25900,69473,4900,96654,8438
"Hilton Head Island-Bluffton, SC Metro Area",310M600US25940,67779,6374,100050,7193
"Hinesville, GA Metro Area",310M600US25980,49733,4025,59899,5115
"Hobbs, NM Micro Area",310M600US26020,50725,3328,67092,9167
"Holland, MI Micro Area",310M600US26090,74371,3892,90649,5805
"Homosassa Springs, FL Metro Area",310M600US26140,47197,4001,65618,4971
"Hot Springs, AR Metro Area",310M600US26300,47694,2698,66052,5717
"Houma-Thibodaux, LA Metro Area",310M600US26380,61478,4702,76790,6290
"Houston-The Woodlands-Sugar Land, TX Metro Area",310M600US26420,70893,1037,100749,1493
"Huntington-Ashland, WV-KY-OH Metro Area",310M600US26580,50456,2216,71291,4487
"Huntsville, AL Metro Area",310M600US26620,76963,2609,103388,5291
"Huntsville, TX Micro Area",310M600US26660,41470,5584,54787,6577
"Idaho Falls, ID Metro Area",310M600US26820,70559,4748,91719,6289
"Indiana, PA Micro Area",310M600US26860,52023,3388,67703,4107
"Indianapolis-Carmel-Anderson, IN Metro Area",310M600US26900,70224,1207,94438,2416
"Iowa City, IA Metro Area",310M600US26980,66216,4332,101633,12494
"Ithaca, NY Metro Area",310M600US27060,66441,6424,91497,7155
"Jackson, MI Metro Area",310M600US27100,58254,2954,79632,5336
"Jackson, MS Metro Area",310M600US27140,54123,2383,75361,2798
"Jackson, TN Metro Area",310M600US27180,52186,3478,70990,4856
"Jacksonville, FL Metro Area",310M600US27260,68394,1734,93077,2283
"Jacksonville, NC Metro Area",310M600US27340,55534,3842,74114,9310
"Jamestown-Dunkirk-Fredonia, NY Micro Area",310M600US27460,46661,3313,62775,3593
"Janesville-Beloit, WI Metro Area",310M600US27500,66090,3259,79091,3775
"Jefferson, GA Micro Area",310M600US27600,72116,5030,89240,7475
"Jefferson City, MO Metro Area",310M600US27620,63942,2363,78907,5024
"Johnson City, TN Metro Area",310M600US27740,51119,1950,74231,6400
"Johnstown, PA Metro Area",310M600US27780,52995,3388,74734,7176
"Jonesboro, AR Metro Area",310M600US27860,47935,5612,70822,6148
"Joplin, MO Metro Area",310M600US27900,55045,3438,72928,6037
"Kahului-Wailuku-Lahaina, HI Metro Area",310M600US27980,76273,6600,109971,7412
"Kalamazoo-Portage, MI Metro Area",310M600US28020,62128,2783,78917,2744
"Kalispell, MT Micro Area",310M600US28060,66126,3444,89171,6927
"Kankakee, IL Metro Area",310M600US28100,63364,5414,82070,6284
"Kansas City, MO-KS Metro Area",310M600US28140,73900,1407,98357,1800
"Kapaa, HI Micro Area",310M600US28180,80582,8005,103065,10019
"Keene, NH Micro Area",310M600US28300,67344,6143,90997,6720
"Kennewick-Richland, WA Metro Area",310M600US28420,78367,3234,101690,4779
"Key West, FL Micro Area",310M600US28580,68563,8422,115417,12287
