Name,Geo_id,"Estimate, Households, Median income (dollars)","Margin of Error, Households, Median income (dollars)","Estimate, Households, Mean income (dollars)","Margin of Error, Households, Mean income (dollars)"
"Bakersfield city, California",1600000US0603526,61039,2812,80280,3758
"Corona city, California",1600000US0616350,71291,4318,86118,4276
"Yuma city, Arizona",1600000US0485540,43663,4357,54413,3700
"Vallejo city, California",1600000US0681666,56923,7412,72929,4633
"Milpitas city, California",1600000US0647766,102200,16435,119895,10322
"Spring Hill CDP, Florida",1600000US1268350,45090,2901,54778,3611
"Aurora city, Colorado",1600000US0804000,58445,2280,73493,2758
"New Britain city, Connecticut",1600000US0950370,40485,4327,54780,5130
"Livonia city, Michigan",1600000US2649000,72061,3734,85049,4793
"Southfield city, Michigan",1600000US2674900,50557,4611,62863,4097
"Roseville city, California",1600000US0662938,72312,4642,93723,5153
"Scottsdale city, Arizona",1600000US0465000,75346,3907,117204,6026
"Avondale city, Arizona",1600000US0404720,54686,4882,62299,4814
"Tempe city, Arizona",1600000US0473000,51688,2962,68586,4169
"Birmingham city, Alabama",1600000US0107000,32378,2224,45685,2107
"Hoover city, Alabama",1600000US0135896,77365,6217,100662,7111
"Casas Adobes CDP, Arizona",1600000US0410670,54766,3966,66720,5584
"Muncie city, Indiana",1600000US1851876,32334,4821,39945,2830
"Columbia CDP, Maryland",1600000US2419125,102431,7991,114538,6306
"Baltimore city, Maryland",1600000US2404000,44165,2247,65437,2425
"Lake Charles city, Louisiana",1600000US2241155,38256,3898,59204,5949
"Bolingbrook village, Illinois",1600000US1707133,77929,8799,93198,11638
"Joliet city, Illinois",1600000US1738570,58363,4548,67590,2702
"Coral Springs city, Florida",1600000US1214400,70422,5170,87230,4846
"Palm Coast city, Florida",1600000US1254200,49629,4160,57053,3496
"Palm Bay city, Florida",1600000US1254000,45904,3932,55340,4183
"Brandon CDP, Florida",1600000US1208150,57942,3128,67059,4347
"Poinciana CDP, Florida",1600000US1257900,45582,8739,50786,6329
"Evanston city, Illinois",1600000US1724582,70969,6625,123090,11230
"Sandy Springs city, Georgia",1600000US1368516,71996,9277,125906,10888
"Port St. Lucie city, Florida",1600000US1258715,53222,2745,62159,4271
"Orlando city, Florida",1600000US1253000,44804,3373,63014,3779
