Name,Geo_id,0 - 19999,20000 - 39999,40000 - 59999,60000 - 99999,100000 - 149999,150000 - 199999,200000 or more
"Grady County, Oklahoma",0500000US40051,3076,3911,3239,5171,2610,906,1074
"Jackson County, Oklahoma",0500000US40065,1432,1959,2230,2230,870,351,240
"Kay County, Oklahoma",0500000US40071,3328,3745,3179,3864,1176,574,754
"Le Flore County, Oklahoma",0500000US40079,4962,4612,3199,3531,1549,379,165
"Lincoln County, Oklahoma",0500000US40081,2477,3016,2201,3019,1484,610,331
"Logan County, Oklahoma",0500000US40083,1900,2378,1890,4553,2751,1184,1010
"McClain County, Oklahoma",0500000US40087,1229,1891,2983,3838,2658,949,936
"McCurtain County, Oklahoma",0500000US40089,3159,3366,2097,2268,931,291,147
"McIntosh County, Oklahoma",0500000US40091,2056,2126,833,1953,471,153,197
"Mayes County, Oklahoma",0500000US40097,2999,3062,2983,4323,1956,451,435
"Muskogee County, Oklahoma",0500000US40101,5448,6407,4600,5564,3053,806,688
"Oklahoma County, Oklahoma",0500000US40109,48263,64417,55675,67719,35270,13796,17505
"Okmulgee County, Oklahoma",0500000US40111,3026,3585,2253,2783,1844,342,170
"Osage County, Oklahoma",0500000US40113,3664,3691,3645,3953,2222,583,286
"Ottawa County, Oklahoma",0500000US40115,2916,3336,1906,2351,710,254,220
"Payne County, Oklahoma",0500000US40119,7061,6611,4794,6396,3427,981,1464
"Pittsburg County, Oklahoma",0500000US40121,4541,3964,2992,3719,1633,511,377
"Pontotoc County, Oklahoma",0500000US40123,2780,2993,2417,2842,2317,585,246
"Pottawatomie County, Oklahoma",0500000US40125,5460,6022,4758,6236,2927,786,525
"Rogers County, Oklahoma",0500000US40131,4029,6639,6923,8249,5446,1805,2163
"Seminole County, Oklahoma",0500000US40133,2247,2551,1702,1605,716,137,118
"Sequoyah County, Oklahoma",0500000US40135,4671,3639,2937,2459,1094,436,388
"Stephens County, Oklahoma",0500000US40137,3037,4642,3270,3042,1569,451,584
"Texas County, Oklahoma",0500000US40139,679,1457,1604,2075,435,168,6
"Tulsa County, Oklahoma",0500000US40143,39383,49763,43054,57520,32162,13180,15430
